cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc,TX_keV,Mgas_Msun,Y500_arcmin2,ICM_proxy_type,Ethermal_c2_Msun,dynamical_state,merger_exclusion_flag,merger_exclusion_reason,source_url
J0050.9-0929,MCXC-I,12.747083333333332,-9.487222222222222,0.199,1.2765e+14,X-ray_Lx_scaling,0.7167,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0051.1-4833,MCXC-I,12.796666666666663,-48.55972222222222,0.1873,2.7637999e+14,X-ray_Lx_scaling,0.9311,,,0.002992831,Y_SZ_derived_LCDM,739769620.1430858,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0051.3-2831,MCXC-I,12.829999999999998,-28.519444444444442,0.1125,1.5303e+14,X-ray_Lx_scaling,0.7844,,,0.001920024,Y_SZ_derived_LCDM,202518856.10456246,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0052.7-8015,MCXC-I,13.187083333333332,-80.26638888888888,0.1141,3.9812e+14,X-ray_Lx_scaling,1.0783,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0054.0-2823,MCXC-I,13.511666666666665,-28.399444444444445,0.292,9.661e+13,X-ray_Lx_scaling,0.6315,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0055.9+2622,MCXC-I,13.999166666666666,26.378055555555555,0.1971,6.0675996e+14,X-ray_Lx_scaling,1.2059,,,0.006635396,Y_SZ_derived_LCDM,1777683835.5340538,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0056.0-3732,MCXC-I,14.014583333333333,-37.54527777777778,0.163,2.3188e+14,X-ray_Lx_scaling,0.8857,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0056.3-0112,MCXC-I,14.076249999999998,-1.2166666666666668,0.0442,2.4747e+14,X-ray_Lx_scaling,0.9413,,,0.030723099,Y_SZ_derived_LCDM,587049326.1840335,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0056.9-2213,MCXC-I,14.229166666666664,-22.230833333333333,0.116,5.3890003e+13,X-ray_Lx_scaling,0.5533,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0056.9-2740,MCXC-I,14.233749999999997,-27.67,0.563,1.4312e+14,X-ray_Lx_scaling,0.6481,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0057.4-2616,MCXC-I,14.352916666666664,-26.280555555555555,0.113,1.7267e+14,X-ray_Lx_scaling,0.8165,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0057.4+3012,MCXC-I,14.373333333333331,30.214444444444442,0.123,3.371e+13,X-ray_Lx_scaling,0.4721,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0057.8-6648,MCXC-I,14.450416666666666,-66.81222222222222,0.0661,1.6195001e+14,X-ray_Lx_scaling,0.8116,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0058.4-1425,MCXC-I,14.617499999999998,-14.4275,0.0957,1.1444e+14,X-ray_Lx_scaling,0.716,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0058.9+2657,MCXC-I,14.725833333333332,26.950555555555553,0.0451,8.174e+13,X-ray_Lx_scaling,0.6505,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0102.7-2152,MCXC-I,15.675416666666667,-21.87361111111111,0.0569,2.4774e+14,X-ray_Lx_scaling,0.9379,,,0.009416112,Y_SZ_derived_LCDM,289272909.92264014,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0104.5-2400,MCXC-I,16.145833333333332,-24.0,0.1603,2.2394e+14,X-ray_Lx_scaling,0.8762,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0105.0+0201,MCXC-I,16.259583333333328,2.03,0.1967,3.1424e+14,X-ray_Lx_scaling,0.9686,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0105.1+3311,MCXC-I,16.279166666666665,33.189722222222215,0.08,1.4819e+14,X-ray_Lx_scaling,0.7844,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0105.5-2439,MCXC-I,16.394999999999996,-24.654722222222222,0.23,4.7167002e+14,X-ray_Lx_scaling,1.0959,,,0.003786067,Y_SZ_derived_LCDM,1286235314.3693962,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0106.8+0103,MCXC-I,16.709583333333335,1.0547222222222223,0.2537,4.7410003e+14,X-ray_Lx_scaling,1.0884,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0106.8-0229,MCXC-I,16.718333333333334,-2.49,0.1909,3.3322e+14,X-ray_Lx_scaling,0.9897,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0106.9+3209,MCXC-I,16.74583333333333,32.15833333333333,0.112,7.3259995e+13,X-ray_Lx_scaling,0.6138,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0107.4+3227,MCXC-I,16.867916666666666,32.46194444444445,0.017,3.972e+13,X-ray_Lx_scaling,0.5159,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0107.7+5408,MCXC-I,16.949166666666663,54.14194444444444,0.1066,3.5609e+14,X-ray_Lx_scaling,1.0415,,,0.004696641,Y_SZ_derived_LCDM,450863100.1281128,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0107.8-3643,MCXC-I,16.954583333333332,-36.727222222222224,0.1186,2.0589001e+14,X-ray_Lx_scaling,0.8642,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0108.0+7558,MCXC-I,17.00458333333333,75.97777777777777,0.096,2.5121e+14,X-ray_Lx_scaling,0.9304,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0108.1+0210,MCXC-I,17.047916666666666,2.176111111111111,0.0436,7.263e+13,X-ray_Lx_scaling,0.6257,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0108.5-4020,MCXC-I,17.138333333333332,-40.35,0.1408,2.2658e+14,X-ray_Lx_scaling,0.8856,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0108.8-1524,MCXC-I,17.208749999999995,-15.41,0.0533,1.2778e+14,X-ray_Lx_scaling,0.753,,,0.008960955,Y_SZ_derived_LCDM,243634013.6316453,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0108.9-1537,MCXC-I,17.23,-15.62888888888889,0.097,1.6888e+14,X-ray_Lx_scaling,0.8148,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0110.0-4555,MCXC-I,17.501666666666665,-45.922777777777775,0.0238,7.103e+13,X-ray_Lx_scaling,0.6249,,,0.006240108,Y_SZ_derived_LCDM,36313637.24893947,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0110.0+1358,MCXC-I,17.522916666666667,13.980277777777777,0.0581,4.079e+13,X-ray_Lx_scaling,0.5139,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0110.3+1938,MCXC-I,17.574999999999996,19.639722222222222,0.317,8.715e+13,X-ray_Lx_scaling,0.6045,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0110.9+3308,MCXC-I,17.742083333333333,33.14944444444444,0.0177,2.153e+13,X-ray_Lx_scaling,0.4205,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0111.6-3811,MCXC-I,17.902499999999996,-38.18666666666666,0.122,3.1240002e+13,X-ray_Lx_scaling,0.4604,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0111.7+3327,MCXC-I,17.924999999999997,33.45305555555556,0.1173,1.9696e+14,X-ray_Lx_scaling,0.8519,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0112.1+3927,MCXC-I,18.035833333333333,39.45444444444445,0.208,1.1127e+14,X-ray_Lx_scaling,0.6825,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
