psz2_name,ra_deg,dec_deg,z,sigma_v,M500_dyn,name_norm,TX_keV,R500_arcmin,sigma_v_m_s,Ti_from_sigma,Ti_from_TX,Ti_best
PSZ2 G239.27-26.01,88.35938262939,-33.71026992798,0.4273591026703616,1686.3813678021916,2414470980006602.5,PSZ2G239.27-26.01,,,1686381.3678021915,114441180727.91464,,114441180727.91464
PSZ2 G243.64+67.74,173.21354675293,14.45431137085,0.08114006011938171,787.2292864716181,386266450141226.56,PSZ2G243.64+67.74,4.92,11.23,787229.2864716181,3989681460.5217586,394329763.4423372,394329763.4423372
PSZ2 G259.98-63.43,38.07691192627,-44.34664154053,0.2891310466791365,910.5589971014077,534849552709218.1,PSZ2G259.98-63.43,,,910558.9971014077,7390887069.057717,,7390887069.057717
PSZ2 G262.27-35.38,79.15426635742,-54.51568984985,0.2936200338803827,757.4429433975714,278355415602557.22,PSZ2G262.27-35.38,,,757442.9433975714,2661633614.14386,,2661633614.14386
PSZ2 G262.73-40.92,69.57332611084,-54.32344818115,0.42179057543550397,1281.0325368836882,1138996889164363.2,PSZ2G262.73-40.92,,,1281032.536883688,31152407027.541283,,31152407027.541283
PSZ2 G263.68-22.55,101.37110137939,-54.22761535645,0.1631906900039898,892.3357400611892,442814367153001.44,PSZ2G263.68-22.55,,,892335.7400611892,5876612145.893578,,5876612145.893578
PSZ2 G266.04-21.25,104.62532043457,-55.94383239746,0.2965506183184224,1261.7377176696807,1250459471597759.0,PSZ2G266.04-21.25,,,1261737.7176696807,33178484263.039066,,33178484263.039066
PSZ2 G266.83+25.08,155.95863342285,-27.2557144165,0.25462505746594466,1168.5564885387405,966975726112684.4,PSZ2G266.83+25.08,,,1168556.4885387404,22007146991.93187,,22007146991.93187
PSZ2 G271.18-30.95,87.33040618896,-62.08749389648,0.37557052673471886,668.1971731924965,196450624887164.06,PSZ2G271.18-30.95,,,668197.1731924965,1461879016.0956843,,1461879016.0956843
PSZ2 G273.59+63.27,180.10038757324,3.3446457386,0.1333332678451461,1289.2454054788097,1646652556753693.8,PSZ2G273.59+63.27,,,1289245.4054788097,45616494423.752144,,45616494423.752144
PSZ2 G277.76-51.74,43.5686340332,-58.94997406006,0.4372157635592778,1471.2731701226908,1632954675414744.8,PSZ2G277.76-51.74,,,1471273.1701226907,58912779177.14223,,58912779177.14223
PSZ2 G278.58+39.16,172.97772216797,-19.92904853821,0.30672299953597104,1146.2653547033515,1066463190894236.4,PSZ2G278.58+39.16,,,1146265.3547033514,23354197708.861183,,23354197708.861183
PSZ2 G283.91+73.87,187.53662109375,11.7511138916,0.08576455807927698,789.1877400942817,402984375669438.56,PSZ2G283.91+73.87,,,789187.7400942817,4183093940.1698117,,4183093940.1698117
PSZ2 G284.41+52.45,181.55070495605,-8.80106544495,0.43985705028670585,1217.202636180716,1202504948545114.2,PSZ2G284.41+52.45,,,1217202.6361807159,29693499939.17994,,29693499939.17994
PSZ2 G285.63+72.75,187.69718933105,10.55211734772,0.16647586038091322,1009.4169860303648,777139171260749.0,PSZ2G285.63+72.75,,,1009416.9860303648,13197411751.842484,,13197411751.842484
PSZ2 G286.98+32.90,177.7042388916,-28.07682609558,0.38604922543548575,1848.5753831923328,4087935204918192.5,PSZ2G286.98+32.90,,,1848575.3831923327,232823644883.10443,,232823644883.10443
PSZ2 G287.46+81.12,190.32313537598,18.57397842407,0.07201340530068866,810.5631165754206,436806061806554.25,PSZ2G287.46+81.12,3.42,11.33,810563.1165754206,4783117858.185208,309971831.83142364,309971831.83142364
PSZ2 G313.33+61.13,197.87254333496,-1.34143745899,0.18477809406842238,1679.172612351318,3346897290650315.5,PSZ2G313.33+61.13,8.49,7.42,1679172.6123513181,157283012575.7707,5896000915.801683,5896000915.801683
PSZ2 G324.04+48.79,206.87776184082,-11.75202083588,0.45019894452984854,955.0720860227052,544333975543990.2,PSZ2G324.04+48.79,11.99,3.81,955072.0860227052,8275352385.3050585,1354228946.6330063,1354228946.6330063
PSZ2 G325.70+17.34,221.88891601562,-40.34354782104,0.3174214346462962,1317.1961044537836,1231832118200715.2,PSZ2G325.70+17.34,,,1317196.1044537837,35620593262.17594,,35620593262.17594
PSZ2 G339.63-69.34,356.18240356445,-42.71987533569,0.5951392257290027,1839.1959576087818,3092308941690609.0,PSZ2G339.63-69.34,,,1839195.9576087818,174336223223.42203,,174336223223.42203
PSZ2 G340.36+60.58,210.25849914551,2.87831258774,0.25144935642763305,1443.3445463535463,2296668382365833.0,PSZ2G340.36+60.58,,,1443344.5463535464,79741990535.18466,,79741990535.18466
PSZ2 G340.94+35.07,224.87113952637,-18.17910385132,0.23491070041829745,1367.5030803717518,1458648073618160.2,PSZ2G340.94+35.07,6.92,5.76,1367503.080371752,45462770591.277534,2094421485.1786752,2094421485.1786752
PSZ2 G346.61+35.06,228.76187133789,-15.38627052307,0.22024924598739481,973.6729793481265,555056544698093.75,PSZ2G346.61+35.06,,,973672.9793481266,8770254847.142656,,8770254847.142656
PSZ2 G349.46-59.95,342.18572998047,-44.52993011475,0.34650928819109117,1590.6738904921706,2121831073856459.2,PSZ2G349.46-59.95,11.5,4.77,1590673.8904921706,89479152091.36414,5063095425.699797,5063095425.699797
