cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc
J1500.0+2234,MCXC-I,225.01083333333332,22.568055555555556,0.23,8.745e+13,X-ray_Lx_scaling,0.6249
J1500.3+2121,MCXC-I,225.08499999999998,21.361944444444447,0.153,5.0613e+14,X-ray_Lx_scaling,1.1528
J1500.8+2244,MCXC-I,225.2145833333333,22.744722222222222,0.45,2.0045e+14,X-ray_Lx_scaling,0.7582
J1501.0-0824,MCXC-I,225.26791666666665,-8.415555555555557,0.51,1.1003e+14,X-ray_Lx_scaling,0.6063
J1501.1+0141,MCXC-I,225.29958333333332,1.6980555555555557,0.005,2.399e+13,X-ray_Lx_scaling,0.4377
J1501.3-0830,MCXC-I,225.32583333333332,-8.509166666666667,0.108,1.3793e+14,X-ray_Lx_scaling,0.7589
J1501.3+4220,MCXC-I,225.34666666666664,42.34638888888889,0.2917,4.352e+14,X-ray_Lx_scaling,1.043
J1504.1-0248,MCXC-I,226.0320833333333,-2.8049999999999997,0.2153,1.2475001e+15,X-ray_Lx_scaling,1.5235
J1504.6-1453,MCXC-I,226.16291666666663,-14.899444444444445,0.284,1.6107e+14,X-ray_Lx_scaling,0.751
J1506.4+0136,MCXC-I,226.62416666666664,1.605,0.006,1.305e+13,X-ray_Lx_scaling,0.3572
J1510.1+3330,MCXC-I,227.54874999999996,33.514722222222225,0.113,4.0695e+14,X-ray_Lx_scaling,1.0866
J1510.9+0543,MCXC-I,227.72916666666663,5.72,0.0766,7.2708e+14,X-ray_Lx_scaling,1.3344
J1511.1+1802,MCXC-I,227.77624999999998,18.04361111111111,0.1161,1.7625e+14,X-ray_Lx_scaling,0.8213
J1511.3+0619,MCXC-I,227.84791666666666,6.318888888888889,0.0817,2.3811e+14,X-ray_Lx_scaling,0.9183
J1511.5+0145,MCXC-I,227.8895833333333,1.7641666666666667,0.0384,4.2750003e+13,X-ray_Lx_scaling,0.5252
J1512.2-2254,MCXC-I,228.05249999999998,-22.91638888888889,0.3152,6.1805e+14,X-ray_Lx_scaling,1.1621
J1512.6+3451,MCXC-I,228.15541666666664,34.86,0.1489,1.6806999e+14,X-ray_Lx_scaling,0.7994
J1512.8-0128,MCXC-I,228.21249999999995,-1.4797222222222224,0.1223,2.1875e+14,X-ray_Lx_scaling,0.8808
J1514.2+5527,MCXC-I,228.55624999999995,55.46416666666667,0.4753,1.1063e+14,X-ray_Lx_scaling,0.6158
J1514.3+3636,MCXC-I,228.5920833333333,36.60611111111111,0.372,3.0438e+14,X-ray_Lx_scaling,0.8982
J1514.6-4558,MCXC-I,228.65124999999998,-45.981388888888894,0.058,2.6628e+14,X-ray_Lx_scaling,0.9604
J1514.9+5541,MCXC-I,228.72999999999996,55.691111111111105,0.559,1.8248e+14,X-ray_Lx_scaling,0.7039
J1514.9-1523,MCXC-I,228.74166666666665,-15.386111111111111,0.2226,5.4232002e+14,X-ray_Lx_scaling,1.1511
J1515.5+4346,MCXC-I,228.88708333333332,43.77638888888889,0.137,7.965e+13,X-ray_Lx_scaling,0.6258
J1515.6+4350,MCXC-I,228.9033333333333,43.84722222222222,0.243,7.694e+13,X-ray_Lx_scaling,0.596
J1516.3+0005,MCXC-I,229.07999999999998,0.09777777777777777,0.1181,2.5949e+14,X-ray_Lx_scaling,0.9337
J1516.5-0056,MCXC-I,229.14166666666665,-0.9488888888888889,0.1198,2.2053001e+14,X-ray_Lx_scaling,0.8839
J1516.7+0701,MCXC-I,229.1833333333333,7.018611111111111,0.0353,2.4944999e+14,X-ray_Lx_scaling,0.9465
